ID_ARTC,LB_VENT_RAYN,LB_VENT_FAML,LB_VENT_SOUS_FAML
2034,EPICERIE SALEE,CONDIMENTS ET SAUCES FROIDES,CONDIMENTS ET SAUCES FROIDES - SS-FAML 4
421,BOUCHERIE LS,ELABORES SAUCISSERIE LS,ELABORES SAUCISSERIE LS - SS-FAML 2
2499,D.P.H.,RASAGE FEMININ ET DEPILATOIRE,RASAGE FEMININ ET DEPILATOIRE - SS-FAML 1
1845,EPICERIE SUCREE,BISCOTTES ET PAINS GRILLES,BISCOTTES ET PAINS GRILLES - SS-FAML 2
1162,PAIN PAT LS INDUS,PAIN DE MIE ET ASSIMILES,PAIN DE MIE ET ASSIMILES - SS-FAML 1
2245,D.P.H.,HOMME,HOMME - SS-FAML 3
1986,LIQUIDES,VINS SUPERIEURS ET VINS FINS,VINS SUPERIEURS ET VINS FINS - SS-FAML 4
87,CREMERIE LS,OEUFS,OEUFS
568,CREMERIE LS,FROMAGE LS,FROMAGE LS - SS-FAML 1
287,EPICERIE SALEE,CHIPS,CHIPS - SS-FAML 1
200,CREMERIE LS,FROMAGE LS,FROMAGE LS - SS-FAML 5
597,FRUITS ET LEGUMES,F/L RAYON REFRIGERE,F/L RAYON REFRIGERE
438,CHARCUTERIE TRAITEUR LS,CHARCUTERIE LS ET SALAISON,CHARCUTERIE LS ET SALAISON - SS-FAML 12
288,EPICERIE SALEE,PATES ALIMENTAIRES,PATES ALIMENTAIRES - SS-FAML 1
1536,CREMERIE LS,FROMAGE LS,FROMAGE LS - SS-FAML 1
2306,BAZAR LEGER,ECRIRE COLLER CORRIGER,ECRIRE COLLER CORRIGER - SS-FAML 5
216,CREMERIE LS,LAIT LS,LAIT LS - SS-FAML 2
2366,CHARCUTERIE TRAITEUR LS,TRAITEUR LS,TRAITEUR LS - SS-FAML 8
1579,CREMERIE LS,ULTRA FRAIS,ULTRA FRAIS - SS-FAML 2
1948,SURGELES,SURGELES SUCRE,SURGELES SUCRE - SS-FAML 3
215,BOUCHERIE LS,STEACK HACHES LS,STEACK HACHES LS
1326,ALIMENTATION POUR ANIMAUX,ALIMENTS POUR CHATS,ALIMENTS POUR CHATS - SS-FAML 2
1907,D.P.H.,CAPILLAIRE HORS HOMME,CAPILLAIRE HORS HOMME - SS-FAML 1
1533,EPICERIE SALEE,RIZ PUREE COUSCOUS  LEG SEC,RIZ PUREE COUSCOUS  LEG SEC - SS-FAML 7
2446,BAZAR LEGER,EQUIPEMENT ACC AUTO,EQUIPEMENT ACC AUTO - SS-FAML 1
279,CHARCUTERIE TRAITEUR LS,TRAITEUR LS,TRAITEUR LS - SS-FAML 6
83,D.P.H.,EMBALLAGES / EPONGES,EMBALLAGES / EPONGES - SS-FAML 3
899,D.P.H.,LAVAGE DU LINGE,LAVAGE DU LINGE - SS-FAML 1
1312,ALIMENTATION POUR ANIMAUX,LITIERES,LITIERES
1349,EPICERIE SALEE,PRODUITS SALES APERITIFS,PRODUITS SALES APERITIFS - SS-FAML 2
725,CHARCUTERIE TRAITEUR LS,CHARCUTERIE LS ET SALAISON,CHARCUTERIE LS ET SALAISON - SS-FAML 1
2197,EPICERIE SUCREE,BIO,BIO - SS-FAML 9
825,LIQUIDES,BIERES ET CIDRES,BIERES ET CIDRES - SS-FAML 4
661,LIQUIDES,JUS DE FRUITS,JUS DE FRUITS - SS-FAML 1
910,EPICERIE SUCREE,BISCUITERIE,BISCUITERIE - SS-FAML 9
1885,LIQUIDES,MOUSSEUX ET PETILLANTS,MOUSSEUX ET PETILLANTS - SS-FAML 4
645,CREMERIE LS,MARGARINE/PATE A TARTINER,MARGARINE/PATE A TARTINER
1348,ALIMENTATION POUR ANIMAUX,PRODUITS POUR ANIMAUX,PRODUITS POUR ANIMAUX - SS-FAML 3
1273,CREMERIE LS,ULTRA FRAIS,ULTRA FRAIS - SS-FAML 2
769,SURGELES,SURGELES SUCRE,SURGELES SUCRE - SS-FAML 5
2264,D.P.H.,HYGIENE DU BEBE,HYGIENE DU BEBE - SS-FAML 1
6,CREMERIE LS,LAIT LS,LAIT LS - SS-FAML 2
1617,EPICERIE SALEE,CONDIMENTS ET SAUCES FROIDES,CONDIMENTS ET SAUCES FROIDES - SS-FAML 2
2299,D.P.H.,ENTRETIEN,ENTRETIEN - SS-FAML 5
1029,EPICERIE SUCREE,BISCUITERIE,BISCUITERIE - SS-FAML 9
674,SURGELES,SURGELES LEGUMES,SURGELES LEGUMES - SS-FAML 3
919,EPICERIE SUCREE,CAFES / CHICOREE,CAFES / CHICOREE - SS-FAML 5
1437,EPICERIE SALEE,POTAGES,POTAGES - SS-FAML 1
1832,EPICERIE SUCREE,BISCUITERIE,BISCUITERIE - SS-FAML 7
1640,BOUCHERIE LS,ELABORES SAUCISSERIE LS,ELABORES SAUCISSERIE LS - SS-FAML 1
146,BAZAR LEGER,PLEIN AIR - CAMPING,PLEIN AIR - CAMPING
1001,ALIMENTATION POUR ANIMAUX,LITIERES,LITIERES
2161,EPICERIE SALEE,CONSERVES DE LEGUMES,CONSERVES DE LEGUMES - SS-FAML 6
929,EPICERIE SUCREE,BISCUITERIE,BISCUITERIE - SS-FAML 3
1815,LIQUIDES,BIERES ET CIDRES,BIERES ET CIDRES - SS-FAML 4
2312,D.P.H.,HYGIENE CORPORELLE HORS HOMME,HYGIENE CORPORELLE HORS HOMME - SS-FAML 2
1459,D.P.H.,HYGIENE FEMININE,HYGIENE FEMININE - SS-FAML 1
535,D.P.H.,EMBALLAGES / EPONGES,EMBALLAGES / EPONGES - SS-FAML 3
2332,EPICERIE SUCREE,CONFIT-COMPOTE FRUITS AU SIROP,CONFIT-COMPOTE FRUITS AU SIROP - SS-FAML 7
131,CREMERIE LS,OEUFS,OEUFS
510,PAIN PAT LS INDUS,PAIN DE MIE ET ASSIMILES,PAIN DE MIE ET ASSIMILES - SS-FAML 1
966,EPICERIE SALEE,CONSERVES DE POISSONS,CONSERVES DE POISSONS - SS-FAML 3
2212,EPICERIE SUCREE,BIO,BIO - SS-FAML 3
1420,EPICERIE SUCREE,CONFISERIE DE SUCRE,CONFISERIE DE SUCRE - SS-FAML 2
2071,D.P.H.,PARAPHARMACIE,PARAPHARMACIE - SS-FAML 1
129,LIQUIDES,JUS DE FRUITS,JUS DE FRUITS - SS-FAML 2
2178,EPICERIE SALEE,CONSERVES DE VIANDES,CONSERVES DE VIANDES - SS-FAML 4
201,CREMERIE LS,ULTRA FRAIS,ULTRA FRAIS - SS-FAML 1
827,SURGELES,SURGELES LEGUMES,SURGELES LEGUMES - SS-FAML 1
1548,LIQUIDES,MOUSSEUX ET PETILLANTS,MOUSSEUX ET PETILLANTS - SS-FAML 5
1242,EPICERIE SALEE,CONDIMENTS ET SAUCES FROIDES,CONDIMENTS ET SAUCES FROIDES - SS-FAML 4
2128,D.P.H.,LAVAGE DU LINGE,LAVAGE DU LINGE - SS-FAML 2
2294,BAZAR LEGER,ACCESSOIRE / GADGET DE CUISINE,ACCESSOIRE / GADGET DE CUISINE
711,CREMERIE LS,CREMERIE FRAICHE,CREMERIE FRAICHE
1298,CHARCUTERIE TRAITEUR LS,TRAITEUR LS,TRAITEUR LS - SS-FAML 5
2351,EPICERIE SALEE,EPICES ET POIVRES,EPICES ET POIVRES - SS-FAML 3
1557,CHARCUTERIE TRAITEUR LS,SAUCISSONS SAUCISSES SECHES,SAUCISSONS SAUCISSES SECHES - SS-FAML 4
1570,CREMERIE LS,ULTRA FRAIS,ULTRA FRAIS - SS-FAML 3
641,BAZAR LEGER,CONSERVERIE,CONSERVERIE
167,CREMERIE LS,ULTRA FRAIS,ULTRA FRAIS - SS-FAML 2
1098,D.P.H.,ENTRETIEN,ENTRETIEN - SS-FAML 1
1073,EPICERIE SUCREE,DEVANT DE CAISSE (DDC),DEVANT DE CAISSE (DDC) - SS-FAML 1
842,BOUCHERIE LS,STEACK HACHES LS,STEACK HACHES LS
780,CHARCUTERIE TRAITEUR LS,SAUCISSONS SAUCISSES SECHES,SAUCISSONS SAUCISSES SECHES - SS-FAML 5
351,D.P.H.,PAPIERS HYGIENIQUES,PAPIERS HYGIENIQUES
1546,D.P.H.,ENTRETIEN,ENTRETIEN - SS-FAML 4
1731,ALIMENTATION POUR ANIMAUX,ALIMENTS POUR CHATS,ALIMENTS POUR CHATS - SS-FAML 1
652,LIQUIDES,BIERES ET CIDRES,BIERES ET CIDRES - SS-FAML 4
1799,EPICERIE SUCREE,CONFIT-COMPOTE FRUITS AU SIROP,CONFIT-COMPOTE FRUITS AU SIROP - SS-FAML 3
249,EPICERIE SALEE,PATES ALIMENTAIRES,PATES ALIMENTAIRES - SS-FAML 1
1295,BAZAR LEGER,CLASSEMENT,CLASSEMENT - SS-FAML 1
733,CHARCUTERIE TRAITEUR LS,TRAITEUR LS,TRAITEUR LS - SS-FAML 5
30,LIQUIDES,BOISSONS GAZEUSES ET PLATES,BOISSONS GAZEUSES ET PLATES - SS-FAML 3
1599,EPICERIE SUCREE,CONFISERIE DE SUCRE,CONFISERIE DE SUCRE - SS-FAML 2
782,CHARCUTERIE TRAITEUR LS,TRAITEUR LS,TRAITEUR LS - SS-FAML 5
124,CREMERIE LS,CREMES UHT,CREMES UHT
475,LIQUIDES,BIERES ET CIDRES,BIERES ET CIDRES - SS-FAML 2
1177,CHARCUTERIE TRAITEUR LS,CHARCUTERIE LS ET SALAISON,CHARCUTERIE LS ET SALAISON - SS-FAML 10
1195,CREMERIE LS,ULTRA FRAIS,ULTRA FRAIS - SS-FAML 1
1894,VOLAILLE LS,VOLAILLES LS,VOLAILLES LS - SS-FAML 4
1103,PAIN PAT LS INDUS,PATISSERIE LS TRADITIONNELLE,PATISSERIE LS TRADITIONNELLE - SS-FAML 2
526,CREMERIE LS,FROMAGE LS,FROMAGE LS - SS-FAML 4
361,CREMERIE LS,FROMAGE LS,FROMAGE LS - SS-FAML 1
2213,EPICERIE SALEE,CHIPS,CHIPS - SS-FAML 2
164,PAIN PAT LS INDUS,PAIN DE MIE ET ASSIMILES,PAIN DE MIE ET ASSIMILES - SS-FAML 2
1471,EPICERIE SUCREE,CAFES / CHICOREE,CAFES / CHICOREE - SS-FAML 2
972,CHARCUTERIE TRAITEUR LS,SAUCISSONS SAUCISSES SECHES,SAUCISSONS SAUCISSES SECHES - SS-FAML 6
934,FRUITS ET LEGUMES,F/L LONGUE CONSERVATION,F/L LONGUE CONSERVATION
1856,CHARCUTERIE TRAITEUR LS,TRAITEUR LS,TRAITEUR LS - SS-FAML 8
1721,SURGELES,SURGELES POISSONS,SURGELES POISSONS - SS-FAML 2
973,CHARCUTERIE TRAITEUR LS,CHARCUTERIE LS ET SALAISON,CHARCUTERIE LS ET SALAISON - SS-FAML 1
2012,CHARCUTERIE TRAITEUR LS,TRAITEUR LS,TRAITEUR LS - SS-FAML 8
1286,CREMERIE LS,FROMAGE LS,FROMAGE LS - SS-FAML 1
1781,LIQUIDES,SIROPS ET CONCENTRES,SIROPS ET CONCENTRES - SS-FAML 1
542,LIQUIDES,BIERES ET CIDRES,BIERES ET CIDRES - SS-FAML 2
2376,SURGELES,SURGELES TRAITEUR,SURGELES TRAITEUR - SS-FAML 2
958,LIQUIDES,EAUX MINERALES / SOURCES,EAUX MINERALES / SOURCES - SS-FAML 1
1830,EPICERIE SUCREE,CONFISERIE DE CHOCOLAT,CONFISERIE DE CHOCOLAT - SS-FAML 3
1822,BAZAR LEGER,VAISSELLE A JETER,VAISSELLE A JETER - SS-FAML 2
1901,EPICERIE SALEE,PATES ALIMENTAIRES,PATES ALIMENTAIRES - SS-FAML 2
2273,EPICERIE SALEE,CONSERVES DE LEGUMES,CONSERVES DE LEGUMES - SS-FAML 9
1707,EPICERIE SALEE,PATES ALIMENTAIRES,PATES ALIMENTAIRES - SS-FAML 1
1323,CREMERIE LS,LAIT LS,LAIT LS - SS-FAML 2
602,EPICERIE SALEE,CHIPS,CHIPS - SS-FAML 1
681,CREMERIE LS,ULTRA FRAIS,ULTRA FRAIS - SS-FAML 2
642,LIQUIDES,VIN DE PAYS,VIN DE PAYS - SS-FAML 2
339,EPICERIE SUCREE,CAFES / CHICOREE,CAFES / CHICOREE - SS-FAML 5
101,CREMERIE LS,BEURRE LS,BEURRE LS
1157,BAZAR LEGER,VAISSELLE-VERRERIE-COUVERTS,VAISSELLE-VERRERIE-COUVERTS - SS-FAML 4
1882,EPICERIE SUCREE,BISCUITERIE,BISCUITERIE - SS-FAML 9
262,FRUITS ET LEGUMES,F/L RAYON REFRIGERE,F/L RAYON REFRIGERE
428,EPICERIE SALEE,CHIPS,CHIPS - SS-FAML 2
1358,CHARCUTERIE TRAITEUR LS,TRAITEUR LS,TRAITEUR LS - SS-FAML 1
1501,EPICERIE SUCREE,AIDE PATISSERIE DESSERT,AIDE PATISSERIE DESSERT - SS-FAML 3
2091,BAZAR LEGER,ECRIRE COLLER CORRIGER,ECRIRE COLLER CORRIGER - SS-FAML 2
732,CREMERIE LS,FROMAGE LS,FROMAGE LS - SS-FAML 4
1144,CHARCUTERIE TRAITEUR LS,TRAITEUR LS,TRAITEUR LS - SS-FAML 9
546,ALIMENTATION POUR ANIMAUX,ALIMENTS POUR CHATS,ALIMENTS POUR CHATS - SS-FAML 1
2209,D.P.H.,BEAUTE,BEAUTE - SS-FAML 1
1689,EPICERIE SALEE,POTAGES,POTAGES - SS-FAML 2
2211,EPICERIE SALEE,PLATS CUISINES ET A PREPARER,PLATS CUISINES ET A PREPARER - SS-FAML 3
879,CREMERIE LS,FROMAGE LS,FROMAGE LS - SS-FAML 2
53,CREMERIE LS,FROMAGE LS,FROMAGE LS - SS-FAML 1
1573,EPICERIE SUCREE,CONFISERIE DE CHOCOLAT,CONFISERIE DE CHOCOLAT - SS-FAML 1
1989,D.P.H.,BIO PARFUMERIE,BIO PARFUMERIE
1180,EPICERIE SALEE,PATES ALIMENTAIRES,PATES ALIMENTAIRES - SS-FAML 1
569,EPICERIE SUCREE,BISCUITERIE,BISCUITERIE - SS-FAML 1
1035,EPICERIE SUCREE,CONFIT-COMPOTE FRUITS AU SIROP,CONFIT-COMPOTE FRUITS AU SIROP - SS-FAML 1
2120,EPICERIE SALEE,FARINE/FECULE/SEMOULE/TAPIOCA,FARINE/FECULE/SEMOULE/TAPIOCA - SS-FAML 2
1245,CREMERIE LS,ULTRA FRAIS,ULTRA FRAIS - SS-FAML 2
448,CREMERIE LS,BEURRE LS,BEURRE LS
2361,BAZAR LEGER,JOUETS,JOUETS - SS-FAML 1
384,CREMERIE LS,FROMAGE LS,FROMAGE LS - SS-FAML 1
1519,SURGELES,SURGELES LEGUMES,SURGELES LEGUMES - SS-FAML 1
853,EPICERIE SUCREE,CONFISERIE CHOCOLAT PAQUES,CONFISERIE CHOCOLAT PAQUES - SS-FAML 1
1848,EPICERIE SUCREE,SUCRES,SUCRES - SS-FAML 5
410,D.P.H.,EMBALLAGES / EPONGES,EMBALLAGES / EPONGES - SS-FAML 2
1343,SURGELES,SURGELES LEGUMES,SURGELES LEGUMES - SS-FAML 1
127,BAZAR LEGER,ACCESSOIRE / GADGET DE CUISINE,ACCESSOIRE / GADGET DE CUISINE
1594,EPICERIE SALEE,PRODUITS SALES APERITIFS,PRODUITS SALES APERITIFS - SS-FAML 2
2093,PAIN PAT LS INDUS,PATISSERIE LS TRADITIONNELLE,PATISSERIE LS TRADITIONNELLE - SS-FAML 3
113,CREMERIE LS,CREMES UHT,CREMES UHT
1549,EPICERIE SUCREE,BISCUITERIE,BISCUITERIE - SS-FAML 1
1093,EPICERIE SALEE,PRODUITS SALES APERITIFS,PRODUITS SALES APERITIFS - SS-FAML 1
47,LIQUIDES,BOISSONS GAZEUSES ET PLATES,BOISSONS GAZEUSES ET PLATES - SS-FAML 3
2170,D.P.H.,DENTAIRE,DENTAIRE - SS-FAML 4
2052,EPICERIE SALEE,PATES ALIMENTAIRES,PATES ALIMENTAIRES - SS-FAML 1
1045,LIQUIDES,BOISSONS GAZEUSES ET PLATES,BOISSONS GAZEUSES ET PLATES - SS-FAML 6
2471,D.P.H.,HYGIENE CORPORELLE HORS HOMME,HYGIENE CORPORELLE HORS HOMME - SS-FAML 3
418,EPICERIE SUCREE,CHOCOLATS TABLETTE,CHOCOLATS TABLETTE - SS-FAML 1
1350,D.P.H.,HYGIENE FEMININE,HYGIENE FEMININE - SS-FAML 1
1543,EPICERIE SALEE,PLATS CUISINES ET A PREPARER,PLATS CUISINES ET A PREPARER - SS-FAML 5
169,BAZAR LEGER,VAISSELLE-VERRERIE-COUVERTS,VAISSELLE-VERRERIE-COUVERTS - SS-FAML 1
1644,CHARCUTERIE TRAITEUR LS,TRAITEUR LS,TRAITEUR LS - SS-FAML 7
2145,LIQUIDES,SIROPS ET CONCENTRES,SIROPS ET CONCENTRES - SS-FAML 1
1539,LIQUIDES,BOISSONS GAZEUSES ET PLATES,BOISSONS GAZEUSES ET PLATES - SS-FAML 5
1653,BAZAR LEGER,VAISSELLE-VERRERIE-COUVERTS,VAISSELLE-VERRERIE-COUVERTS - SS-FAML 3
1603,EPICERIE SUCREE,BISCUITERIE,BISCUITERIE - SS-FAML 1
1277,EPICERIE SUCREE,BISCUITERIE,BISCUITERIE - SS-FAML 3
2163,EPICERIE SUCREE,CONFISERIE DE CHOCOLAT,CONFISERIE DE CHOCOLAT - SS-FAML 1
1582,LIQUIDES,VINS SUPERIEURS ET VINS FINS,VINS SUPERIEURS ET VINS FINS - SS-FAML 6
644,CREMERIE LS,BEURRE LS,BEURRE LS
1117,CREMERIE LS,ULTRA FRAIS,ULTRA FRAIS - SS-FAML 2
1864,D.P.H.,HYGIENE CORPORELLE HORS HOMME,HYGIENE CORPORELLE HORS HOMME - SS-FAML 2
1771,EPICERIE SALEE,PLATS CUISINES ET A PREPARER,PLATS CUISINES ET A PREPARER - SS-FAML 2
1456,LIQUIDES,VINS DE TABLE,VINS DE TABLE - SS-FAML 1
2335,D.P.H.,ENTRETIEN,ENTRETIEN - SS-FAML 5
563,CREMERIE LS,ULTRA FRAIS,ULTRA FRAIS - SS-FAML 2
1481,LIQUIDES,VINS SUPERIEURS ET VINS FINS,VINS SUPERIEURS ET VINS FINS - SS-FAML 12
1677,EPICERIE SUCREE,CEREALES ET BARRES CEREALIERES,CEREALES ET BARRES CEREALIERES - SS-FAML 1
2050,EPICERIE SUCREE,AIDE PATISSERIE DESSERT,AIDE PATISSERIE DESSERT - SS-FAML 3
1602,EPICERIE SUCREE,CONFISERIE DE SUCRE,CONFISERIE DE SUCRE - SS-FAML 2
933,EPICERIE SUCREE,CEREALES ET BARRES CEREALIERES,CEREALES ET BARRES CEREALIERES - SS-FAML 2
92,CHARCUTERIE TRAITEUR LS,TRAITEUR LS,TRAITEUR LS - SS-FAML 6
2084,CREMERIE LS,JUS ET BOISSONS FRAIS,JUS ET BOISSONS FRAIS - SS-FAML 1
2044,BAZAR LEGER,CLASSEMENT,CLASSEMENT - SS-FAML 3
1711,EPICERIE SUCREE,BISCUITERIE,BISCUITERIE - SS-FAML 3
701,EPICERIE SUCREE,DEVANT DE CAISSE (DDC),DEVANT DE CAISSE (DDC) - SS-FAML 1
1883,LIQUIDES,VINS SUPERIEURS ET VINS FINS,VINS SUPERIEURS ET VINS FINS - SS-FAML 16
1528,ALIMENTATION POUR ANIMAUX,ALIMENTS POUR CHATS,ALIMENTS POUR CHATS - SS-FAML 1
865,EPICERIE SALEE,CONSERVES DE POISSONS,CONSERVES DE POISSONS - SS-FAML 1
356,BAZAR LEGER,JOUETS,JOUETS - SS-FAML 3
2419,EPICERIE SALEE,EPICES ET POIVRES,EPICES ET POIVRES - SS-FAML 1
890,EPICERIE SALEE,CONSERVES DE VIANDES,CONSERVES DE VIANDES - SS-FAML 1
1147,CHARCUTERIE TRAITEUR LS,CHARCUTERIE LS ET SALAISON,CHARCUTERIE LS ET SALAISON - SS-FAML 12
427,CHARCUTERIE TRAITEUR LS,TRAITEUR LS,TRAITEUR LS - SS-FAML 9
2436,BAZAR LEGER,PEINTURES & ACCESSOIRES,PEINTURES & ACCESSOIRES - SS-FAML 3
2077,EPICERIE SALEE,POTAGES,POTAGES - SS-FAML 4
564,BAZAR LEGER,ACCESSOIRE / GADGET DE CUISINE,ACCESSOIRE / GADGET DE CUISINE
9,LIQUIDES,BIERES ET CIDRES,BIERES ET CIDRES - SS-FAML 1
814,CREMERIE LS,BEURRE LS,BEURRE LS
1649,ALIMENTATION POUR ANIMAUX,PRODUITS POUR ANIMAUX,PRODUITS POUR ANIMAUX - SS-FAML 3
206,D.P.H.,HYGIENE DU BEBE,HYGIENE DU BEBE - SS-FAML 1
960,EPICERIE SUCREE,BISCUITERIE,BISCUITERIE - SS-FAML 1
1186,EPICERIE SUCREE,BISCUITERIE,BISCUITERIE - SS-FAML 3
1086,EPICERIE SUCREE,CHOCOLATS TABLETTE,CHOCOLATS TABLETTE - SS-FAML 5
499,CHARCUTERIE TRAITEUR LS,CHARCUTERIE LS ET SALAISON,CHARCUTERIE LS ET SALAISON - SS-FAML 8
197,CHARCUTERIE TRAITEUR LS,CHARCUTERIE LS ET SALAISON,CHARCUTERIE LS ET SALAISON - SS-FAML 1
1542,FRUITS ET LEGUMES,F/L LONGUE CONSERVATION,F/L LONGUE CONSERVATION
850,CREMERIE LS,ULTRA FRAIS,ULTRA FRAIS - SS-FAML 1
1366,EPICERIE SUCREE,CONFISERIE DE SUCRE,CONFISERIE DE SUCRE - SS-FAML 2
944,PAIN PAT LS INDUS,PATISSERIE LS TRADITIONNELLE,PATISSERIE LS TRADITIONNELLE - SS-FAML 4
217,D.P.H.,EMBALLAGES / EPONGES,EMBALLAGES / EPONGES - SS-FAML 3
1941,D.P.H.,PAPIERS HYGIENIQUES,PAPIERS HYGIENIQUES
649,EPICERIE SALEE,CONSERVES DE LEGUMES,CONSERVES DE LEGUMES - SS-FAML 8
1334,EPICERIE SUCREE,ALIMENTATION POUR BEBE,ALIMENTATION POUR BEBE - SS-FAML 11
2310,BAZAR LEGER,BROSSERIE/GANTS/TAPIS,BROSSERIE/GANTS/TAPIS - SS-FAML 3
1817,ALIMENTATION POUR ANIMAUX,ALIMENTS POUR CHATS,ALIMENTS POUR CHATS - SS-FAML 1
65,CREMERIE LS,FROMAGE LS,FROMAGE LS - SS-FAML 5
2143,D.P.H.,RASAGE FEMININ ET DEPILATOIRE,RASAGE FEMININ ET DEPILATOIRE - SS-FAML 2
366,CREMERIE LS,LAIT LS,LAIT LS - SS-FAML 2
218,LIQUIDES,BIERES ET CIDRES,BIERES ET CIDRES - SS-FAML 2
1820,EPICERIE SALEE,PLATS CUISINES ET A PREPARER,PLATS CUISINES ET A PREPARER - SS-FAML 6
175,EPICERIE SALEE,CONSERVES DE POISSONS,CONSERVES DE POISSONS - SS-FAML 2
374,D.P.H.,COTON,COTON - SS-FAML 1
173,BAZAR LEGER,PEINTURES & ACCESSOIRES,PEINTURES & ACCESSOIRES - SS-FAML 1
63,LIQUIDES,EAUX MINERALES / SOURCES,EAUX MINERALES / SOURCES - SS-FAML 1
2021,CREMERIE LS,FROMAGE LS,FROMAGE LS - SS-FAML 1
383,EPICERIE SALEE,CONSERVES DE LEGUMES,CONSERVES DE LEGUMES - SS-FAML 6
1000,LIQUIDES,VINS SUPERIEURS ET VINS FINS,VINS SUPERIEURS ET VINS FINS - SS-FAML 14
1855,EPICERIE SALEE,SAUCE SALADE/JUS DE CITRON,SAUCE SALADE/JUS DE CITRON - SS-FAML 3
767,CREMERIE LS,BEURRE LS,BEURRE LS
2445,BAZAR LEGER,ECRIRE COLLER CORRIGER,ECRIRE COLLER CORRIGER - SS-FAML 9
2087,D.P.H.,HYGIENE CORPORELLE HORS HOMME,HYGIENE CORPORELLE HORS HOMME - SS-FAML 1
1881,D.P.H.,HYGIENE CORPORELLE HORS HOMME,HYGIENE CORPORELLE HORS HOMME - SS-FAML 2
154,LIQUIDES,BIERES ET CIDRES,BIERES ET CIDRES - SS-FAML 2
1506,EPICERIE SUCREE,CONFISERIE DE SUCRE,CONFISERIE DE SUCRE - SS-FAML 2
2242,EPICERIE SALEE,CONSERVES DE VIANDES,CONSERVES DE VIANDES - SS-FAML 1
317,CREMERIE LS,FROMAGE LS,FROMAGE LS - SS-FAML 2
1172,VOLAILLE LS,VOLAILLES LS,VOLAILLES LS - SS-FAML 4
2350,EPICERIE SUCREE,THE & INFUSIONS,THE & INFUSIONS - SS-FAML 1
163,CREMERIE LS,BEURRE LS,BEURRE LS
39,EPICERIE SALEE,HUILES,HUILES - SS-FAML 4
636,BAZAR LEGER,ECRIRE COLLER CORRIGER,ECRIRE COLLER CORRIGER - SS-FAML 10
635,CHARCUTERIE TRAITEUR LS,TRAITEUR LS,TRAITEUR LS - SS-FAML 7
611,EPICERIE SUCREE,SUCRES,SUCRES - SS-FAML 1
2375,BAZAR LEGER,ECRIRE COLLER CORRIGER,ECRIRE COLLER CORRIGER - SS-FAML 8
856,EPICERIE SALEE,RIZ PUREE COUSCOUS  LEG SEC,RIZ PUREE COUSCOUS  LEG SEC - SS-FAML 4
10,CREMERIE LS,FROMAGE LS,FROMAGE LS - SS-FAML 1
2168,EPICERIE SALEE,VINAIGRES,VINAIGRES - SS-FAML 2
643,VOLAILLE LS,VOLAILLES LS,VOLAILLES LS - SS-FAML 2
607,BOUCHERIE LS,UVC 21,UVC 21
2321,BAZAR LEGER,DROGUERIE,DROGUERIE
1609,EPICERIE SUCREE,CAFES / CHICOREE,CAFES / CHICOREE - SS-FAML 1
792,BAZAR LEGER,ECRIRE COLLER CORRIGER,ECRIRE COLLER CORRIGER - SS-FAML 1
2469,BAZAR LEGER,BROSSERIE/GANTS/TAPIS,BROSSERIE/GANTS/TAPIS - SS-FAML 4
511,CREMERIE LS,ULTRA FRAIS,ULTRA FRAIS - SS-FAML 1
2138,CREMERIE LS,FROMAGE LS,FROMAGE LS - SS-FAML 1
2442,D.P.H.,HOMME,HOMME - SS-FAML 1
476,SAURISSERIE,TRAITEUR DE LA MER LS IND,TRAITEUR DE LA MER LS IND - SS-FAML 4
2095,EPICERIE SALEE,SAUCE SALADE/JUS DE CITRON,SAUCE SALADE/JUS DE CITRON - SS-FAML 4
1643,EPICERIE SUCREE,DEVANT DE CAISSE (DDC),DEVANT DE CAISSE (DDC) - SS-FAML 1
15,CHARCUTERIE TRAITEUR LS,TRAITEUR LS,TRAITEUR LS - SS-FAML 6
453,BAZAR LEGER,CLASSEMENT,CLASSEMENT - SS-FAML 6
626,EPICERIE SALEE,HUILES,HUILES - SS-FAML 2
507,EPICERIE SALEE,PRODUITS SALES APERITIFS,PRODUITS SALES APERITIFS - SS-FAML 2
668,EPICERIE SALEE,PLATS CUISINES ET A PREPARER,PLATS CUISINES ET A PREPARER - SS-FAML 3
601,EPICERIE SALEE,CONSERVES DE LEGUMES,CONSERVES DE LEGUMES - SS-FAML 1
1338,D.P.H.,LAVAGE DU LINGE,LAVAGE DU LINGE - SS-FAML 1
1376,EPICERIE SUCREE,CHOCOLATS TABLETTE,CHOCOLATS TABLETTE - SS-FAML 2
760,SURGELES,SURGELES SUCRE,SURGELES SUCRE - SS-FAML 5
995,CREMERIE LS,ULTRA FRAIS,ULTRA FRAIS - SS-FAML 2
689,EPICERIE SUCREE,BISCUITERIE,BISCUITERIE - SS-FAML 1
2056,SURGELES,SURGELES POISSONS,SURGELES POISSONS - SS-FAML 2
136,EPICERIE SALEE,VINAIGRES,VINAIGRES - SS-FAML 1
1316,EPICERIE SUCREE,CAFES / CHICOREE,CAFES / CHICOREE - SS-FAML 5
80,CREMERIE LS,FROMAGE LS,FROMAGE LS - SS-FAML 5
1730,CREMERIE LS,ULTRA FRAIS,ULTRA FRAIS - SS-FAML 1
1411,SURGELES,SURGELES SUCRE,SURGELES SUCRE - SS-FAML 2
